subject,trial,phase,block,stimulus,doubled
,1,1,4,,0
,2,1,4,,1
,3,1,4,,0
,4,1,4,,0
,5,1,4,,0
,6,1,4,,0
,7,1,4,,0
,8,1,4,,0
,9,1,4,,0
,10,1,4,,0
,11,1,4,,0
,12,1,4,,0
,13,1,4,,0
,14,1,4,,0
,15,1,4,,0
,16,1,4,,0
,17,1,4,,0
,18,1,4,,0
,19,1,4,,0
,20,1,4,,1
,21,1,4,,0
,22,1,4,,0
,23,1,4,,0
,24,1,4,,0
,25,1,4,,0
,26,1,4,,0
,27,2,4,,0
,28,2,4,,0
,29,2,4,,0
,30,2,4,,0
,31,2,4,,0
,32,2,4,,0
,33,2,4,,1
,34,2,4,,0
,35,2,4,,0
,36,2,4,,0
,37,2,4,,0
,38,2,4,,0
,39,2,4,,0
,40,2,4,,0
,41,2,4,,0
,42,2,4,,0
,43,2,4,,0
,44,2,4,,0
,45,2,4,,0
,46,2,4,,1
,47,2,4,,0
,48,2,4,,0
,49,2,4,,0
,50,2,4,,0
,51,2,4,,0
,52,2,4,,0
,53,3,4,,0
,54,3,4,,0
,55,3,4,,0
,56,3,4,,0
,57,3,4,,1
,58,3,4,,0
,59,3,4,,0
,60,3,4,,0
,61,3,4,,0
,62,3,4,,0
,63,3,4,,0
,64,3,4,,0
,65,3,4,,0
,66,3,4,,1
,67,3,4,,0
,68,3,4,,0
,69,3,4,,0
,70,3,4,,0
,71,3,4,,0
,72,3,4,,0
,73,3,4,,0
,74,3,4,,0
,75,3,4,,0
,76,3,4,,0
,77,3,4,,0
,78,3,4,,0
,79,4,4,,0
,80,4,4,,0
,81,4,4,,0
,82,4,4,,0
,83,4,4,,0
,84,4,4,,0
,85,4,4,,0
,86,4,4,,1
,87,4,4,,0
,88,4,4,,0
,89,4,4,,0
,90,4,4,,0
,91,4,4,,0
,92,4,4,,0
,93,4,4,,0
,94,4,4,,1
,95,4,4,,0
,96,4,4,,0
,97,4,4,,0
,98,4,4,,0
,99,4,4,,0
,100,4,4,,0
,101,4,4,,0
,102,4,4,,0
,103,4,4,,0
,104,4,4,,0
